RAWX,RAWY,CCDNR,REV1,REV2
58,53,8,2012,10000
59,53,8,2012,10000
51,62,8,2959,10000
44,66,8,3175,10000
19,85,8,2645,10000
51,113,8,3068,10000
13,133,8,2679,10000
5,160,8,0,10000
32,198,8,0,10000
25,66,9,1993,10000
19,89,9,2885,10000
33,156,9,2409,10000
23,179,9,0,10000
48,180,9,3388,10000
23,182,9,0,10000
23,187,9,0,10000
23,190,9,0,10000
23,195,9,0,10000
23,198,9,0,10000
13,17,10,0,10000
40,19,10,0,10000
41,18,10,0,10000
41,19,10,0,10000
42,19,10,0,10000
20,63,10,2698,10000
58,107,10,2949,10000
32,196,10,3175,10000
38,196,10,865,10000
32,15,11,2092,10000
22,27,11,0,10000
63,39,11,0,4149
63,40,11,0,4149
63,41,11,0,4149
63,42,11,0,4149
63,43,11,0,4149
63,44,11,0,4149
63,45,11,0,4149
63,46,11,0,4149
63,47,11,0,4149
63,48,11,0,4149
63,49,11,0,4149
63,50,11,0,4149
63,51,11,0,4149
63,52,11,0,4149
63,53,11,0,4149
63,54,11,0,4149
63,55,11,0,4149
63,56,11,0,4149
63,57,11,0,4149
63,58,11,0,4149
63,59,11,0,4149
63,60,11,0,4149
63,61,11,0,4149
63,62,11,0,4149
63,63,11,0,4149
63,64,11,0,4149
63,65,11,0,4149
63,66,11,0,4149
63,67,11,0,4149
63,68,11,0,4149
63,69,11,0,4149
63,70,11,0,4149
63,71,11,0,4149
63,72,11,0,4149
63,73,11,0,4149
63,74,11,0,4149
63,75,11,0,4149
63,76,11,0,4149
63,77,11,0,4149
63,78,11,0,4149
63,79,11,0,4149
63,80,11,0,4149
63,81,11,0,4149
63,82,11,0,4149
63,83,11,0,4149
63,84,11,0,4149
63,85,11,0,4149
63,86,11,0,4149
63,87,11,0,4149
63,88,11,0,4149
63,89,11,0,4149
63,90,11,0,4149
63,91,11,0,4149
63,92,11,0,4149
63,93,11,0,4149
63,94,11,0,4149
63,95,11,0,4149
63,96,11,0,4149
63,97,11,0,4149
63,98,11,0,4149
63,99,11,0,4149
63,100,11,0,4149
63,101,11,0,4149
63,102,11,0,4149
63,103,11,0,4149
63,104,11,0,4149
63,105,11,0,4149
63,106,11,0,4149
63,107,11,0,4149
63,108,11,0,4149
63,109,11,0,4149
63,110,11,0,4149
63,111,11,0,4149
63,112,11,0,4149
63,113,11,0,4149
63,114,11,0,4149
63,115,11,0,4149
63,116,11,0,4149
63,117,11,0,4149
63,118,11,0,4149
63,119,11,0,4149
63,120,11,0,4149
63,121,11,0,4149
63,122,11,0,4149
63,123,11,0,4149
63,124,11,0,4149
63,125,11,0,4149
63,126,11,0,4149
63,127,11,0,4149
63,128,11,0,4149
63,129,11,0,4149
63,130,11,0,4149
63,131,11,0,4149
63,132,11,0,4149
63,133,11,0,4149
63,134,11,0,4149
63,135,11,0,4149
63,136,11,0,4149
63,137,11,0,4149
63,138,11,0,4149
63,139,11,0,4149
63,140,11,0,4149
63,141,11,0,4149
63,142,11,0,4149
63,143,11,0,4149
63,144,11,0,4149
63,145,11,0,4149
63,146,11,0,4149
63,147,11,0,4149
63,148,11,0,4149
63,149,11,0,4149
63,150,11,0,4149
63,151,11,0,4149
63,152,11,0,4149
63,153,11,0,4149
63,154,11,0,4149
63,155,11,0,4149
63,156,11,0,4149
63,157,11,0,4149
63,158,11,0,4149
63,159,11,0,4149
63,160,11,0,4149
63,161,11,0,4149
63,162,11,0,4149
63,163,11,0,4149
63,164,11,0,4149
63,165,11,0,4149
63,166,11,0,4149
63,167,11,0,4149
63,168,11,0,4149
63,169,11,0,4149
63,170,11,0,4149
63,171,11,0,4149
63,172,11,0,4149
63,173,11,0,4149
63,174,11,0,4149
63,175,11,0,4149
63,176,11,0,4149
63,177,11,0,4149
63,178,11,0,4149
63,179,11,0,4149
63,180,11,0,4149
63,181,11,0,4149
63,182,11,0,4149
63,183,11,0,4149
63,184,11,0,4149
63,185,11,0,4149
63,186,11,0,4149
63,187,11,0,4149
63,188,11,0,4149
63,189,11,0,4149
63,190,11,0,4149
63,191,11,0,4149
63,192,11,0,4149
63,193,11,0,4149
63,194,11,0,4149
63,195,11,0,4149
63,196,11,0,4149
63,197,11,0,4149
63,198,11,0,4149
63,199,11,0,4149
63,200,11,0,4149
63,201,11,0,4149
64,39,11,0,4149
64,40,11,0,4149
64,41,11,0,4149
64,42,11,0,4149
64,43,11,0,4149
64,44,11,0,4149
64,45,11,0,4149
64,46,11,0,4149
64,47,11,0,4149
64,48,11,0,4149
64,49,11,0,4149
64,50,11,0,4149
64,51,11,0,4149
64,52,11,0,4149
64,53,11,0,4149
64,54,11,0,4149
64,55,11,0,4149
64,56,11,0,4149
64,57,11,0,4149
64,58,11,0,4149
64,59,11,0,4149
64,60,11,0,4149
64,61,11,0,4149
64,62,11,0,4149
64,63,11,0,4149
64,64,11,0,4149
64,65,11,0,4149
64,66,11,0,4149
64,67,11,0,4149
64,68,11,0,4149
64,69,11,0,4149
64,70,11,0,4149
64,71,11,0,4149
64,72,11,0,4149
64,73,11,0,4149
64,74,11,0,4149
64,75,11,0,4149
64,76,11,0,4149
64,77,11,0,4149
64,78,11,0,4149
64,79,11,0,4149
64,80,11,0,4149
64,81,11,0,4149
64,82,11,0,4149
64,83,11,0,4149
64,84,11,0,4149
64,85,11,0,4149
64,86,11,0,4149
64,87,11,0,4149
64,88,11,0,4149
64,89,11,0,4149
64,90,11,0,4149
64,91,11,0,4149
64,92,11,0,4149
64,93,11,0,4149
64,94,11,0,4149
64,95,11,0,4149
64,96,11,0,4149
64,97,11,0,4149
64,98,11,0,4149
64,99,11,0,4149
64,100,11,0,4149
64,101,11,0,4149
64,102,11,0,4149
64,103,11,0,4149
64,104,11,0,4149
64,105,11,0,4149
