RAWX,RAWY,CCDNR,REV1,REV2
579,444,1,1130,4110
579,445,1,1130,4110
579,446,1,1130,4110
579,447,1,1130,4110
579,448,1,1130,4110
579,449,1,1130,4110
579,450,1,1130,4110
579,451,1,1130,4110
579,452,1,1130,4110
579,453,1,1130,4110
579,454,1,1130,4110
579,455,1,1130,4110
579,456,1,1130,4110
579,457,1,1130,4110
579,458,1,1130,4110
579,459,1,1130,4110
579,460,1,1130,4110
579,461,1,1130,4110
579,462,1,1130,4110
579,463,1,1130,4110
579,464,1,1130,4110
579,465,1,1130,4110
579,466,1,1130,4110
579,467,1,1130,4110
579,468,1,1130,4110
579,469,1,1130,4110
579,470,1,1130,4110
579,471,1,1130,4110
579,472,1,1130,4110
579,473,1,1130,4110
579,474,1,1130,4110
579,475,1,1130,4110
579,476,1,1130,4110
579,477,1,1130,4110
579,478,1,1130,4110
579,479,1,1130,4110
579,480,1,1130,4110
579,481,1,1130,4110
579,482,1,1130,4110
579,483,1,1130,4110
579,484,1,1130,4110
579,485,1,1130,4110
579,486,1,1130,4110
579,487,1,1130,4110
579,488,1,1130,4110
579,489,1,1130,4110
579,490,1,1130,4110
579,491,1,1130,4110
579,492,1,1130,4110
579,493,1,1130,4110
579,494,1,1130,4110
579,495,1,1130,4110
579,496,1,1130,4110
579,497,1,1130,4110
579,498,1,1130,4110
579,499,1,1130,4110
579,500,1,1130,4110
579,501,1,1130,4110
579,502,1,1130,4110
579,503,1,1130,4110
579,504,1,1130,4110
579,505,1,1130,4110
579,506,1,1130,4110
579,507,1,1130,4110
579,508,1,1130,4110
579,509,1,1130,4110
579,510,1,1130,4110
579,511,1,1130,4110
579,512,1,1130,4110
579,513,1,1130,4110
579,514,1,1130,4110
579,515,1,1130,4110
579,516,1,1130,4110
579,517,1,1130,4110
579,518,1,1130,4110
579,519,1,1130,4110
579,520,1,1130,4110
579,521,1,1130,4110
579,522,1,1130,4110
579,523,1,1130,4110
579,524,1,1130,4110
579,525,1,1130,4110
579,526,1,1130,4110
579,527,1,1130,4110
579,528,1,1130,4110
579,529,1,1130,4110
579,530,1,1130,4110
579,531,1,1130,4110
579,532,1,1130,4110
579,533,1,1130,4110
579,534,1,1130,4110
579,535,1,1130,4110
579,536,1,1130,4110
579,537,1,1130,4110
579,538,1,1130,4110
579,539,1,1130,4110
579,540,1,1130,4110
579,541,1,1130,4110
579,542,1,1130,4110
579,543,1,1130,4110
579,544,1,1130,4110
579,545,1,1130,4110
579,546,1,1130,4110
579,547,1,1130,4110
579,548,1,1130,4110
579,549,1,1130,4110
579,550,1,1130,4110
579,551,1,1130,4110
579,552,1,1130,4110
579,553,1,1130,4110
579,554,1,1130,4110
579,555,1,1130,4110
579,556,1,1130,4110
579,557,1,1130,4110
579,558,1,1130,4110
579,559,1,1130,4110
579,560,1,1130,4110
579,561,1,1130,4110
579,562,1,1130,4110
579,563,1,1130,4110
579,564,1,1130,4110
579,565,1,1130,4110
579,566,1,1130,4110
579,567,1,1130,4110
579,568,1,1130,4110
579,569,1,1130,4110
579,570,1,1130,4110
579,571,1,1130,4110
579,572,1,1130,4110
579,573,1,1130,4110
579,574,1,1130,4110
579,575,1,1130,4110
579,576,1,1130,4110
579,577,1,1130,4110
579,578,1,1130,4110
579,579,1,1130,4110
579,580,1,1130,4110
579,581,1,1130,4110
579,582,1,1130,4110
579,583,1,1130,4110
